06:00,21,mountain
06:00,27,mountain
06:00,23,mountain
06:01,11,road
06:02,23,mountain
06:02,20,mountain
06:02,18,mountain
06:02,20,mountain
06:03,22,mountain
06:03,12,road
06:04,21,mountain
06:04,24,mountain
06:04,23,mountain
06:04,20,mountain
06:04,21,mountain
06:04,16,road
06:04,13,road
06:04,12,road
06:05,22,mountain
06:05,11,road
06:06,28,mountain
06:06,14,mountain
06:07,25,mountain
06:07,24,mountain
06:08,18,mountain
06:08,22,mountain
06:09,21,mountain
06:09,25,mountain
06:09,24,mountain
06:09,20,road
06:09,15,road
06:09,17,road
06:10,18,mountain
06:10,31,mountain
06:10,25,mountain
06:10,23,mountain
06:11,26,mountain
06:11,16,road
06:11,12,road
06:12,28,mountain
06:12,13,road
06:14,23,mountain
06:15,23,mountain
06:15,23,mountain
06:15,21,mountain
06:15,17,mountain
06:16,26,mountain
06:16,17,mountain
06:17,21,mountain
06:18,20,mountain
06:18,30,mountain
06:18,24,mountain
06:18,28,mountain
06:18,22,mountain
06:19,27,mountain
06:19,26,mountain
06:19,26,mountain
06:19,16,road
06:19,16,road
06:19,16,road
06:20,25,mountain
06:20,20,road
06:21,18,mountain
06:21,22,mountain
06:21,21,mountain
06:22,26,mountain
06:22,17,mountain
06:22,27,mountain
06:22,16,road
06:23,22,mountain
06:23,18,mountain
06:23,25,mountain
06:23,20,mountain
06:23,14,road
06:24,21,mountain
06:24,23,mountain
06:24,25,mountain
06:25,23,mountain
06:25,11,mountain
06:26,18,mountain
06:27,25,mountain
06:27,19,mountain
06:28,27,mountain
06:29,21,mountain
06:29,22,mountain
06:29,28,mountain
06:29,12,road
06:30,22,mountain
06:30,26,mountain
06:31,27,mountain
06:31,25,mountain
06:31,20,mountain
06:31,21,mountain
06:31,19,road
06:31,12,road
06:32,23,mountain
06:32,22,mountain
06:32,20,mountain
06:32,17,road
06:33,17,mountain
06:33,31,mountain
06:33,23,mountain
06:34,27,mountain
06:34,28,mountain
06:34,25,mountain
06:34,22,mountain
06:34,27,mountain
06:34,17,road
06:35,18,mountain
06:35,24,mountain
06:35,24,mountain
06:36,21,mountain
06:36,21,mountain
06:36,28,mountain
06:37,28,mountain
06:37,20,mountain
06:37,26,mountain
06:37,26,mountain
06:37,20,road
06:38,24,mountain
06:38,21,mountain
06:38,21,mountain
06:38,17,road
06:39,16,road
06:39,17,road
06:40,25,mountain
06:40,24,mountain
06:40,26,mountain
06:41,25,mountain
06:41,14,road
06:42,24,mountain
06:42,31,mountain
06:42,26,mountain
06:42,26,mountain
06:43,19,mountain
06:43,30,mountain
06:44,29,mountain
06:44,27,mountain
06:44,22,mountain
06:45,25,mountain
06:45,31,mountain
06:45,19,mountain
06:45,20,mountain
06:46,26,mountain
06:46,26,mountain
06:46,24,mountain
06:46,21,mountain
06:46,23,road
06:46,17,road
06:47,25,mountain
06:47,18,mountain
06:47,26,mountain
06:47,23,mountain
06:47,20,road
06:48,11,mountain
06:48,24,road
06:49,21,mountain
06:49,25,mountain
06:49,27,mountain
06:49,21,mountain
06:49,19,road
06:50,27,mountain
06:50,30,mountain
06:50,24,mountain
06:50,15,road
06:50,17,road
06:51,27,mountain
06:51,26,mountain
06:51,27,mountain
06:51,12,road
06:52,28,mountain
06:52,28,mountain
06:52,12,road
06:52,14,road
06:53,25,mountain
06:53,21,mountain
06:53,24,mountain
06:53,22,mountain
06:53,26,mountain
06:53,12,road
06:53,15,road
06:53,18,road
06:54,24,mountain
06:54,24,mountain
06:54,20,mountain
06:55,17,mountain
06:55,28,mountain
06:55,23,mountain
06:56,19,mountain
06:56,24,mountain
06:56,28,mountain
06:56,15,road
06:56,21,road
06:56,19,road
06:57,21,mountain
06:57,26,mountain
06:57,27,mountain
06:57,17,road
06:57,12,road
06:57,23,road
06:58,27,mountain
06:58,26,mountain
06:59,27,mountain
06:59,18,road
06:59,16,road
07:00,22,mountain
07:00,25,mountain
07:00,16,road
07:01,28,mountain
07:01,14,road
07:01,19,road
07:02,24,mountain
07:02,26,mountain
07:02,11,road
07:02,17,road
07:03,25,mountain
07:03,24,mountain
07:03,27,mountain
07:03,21,mountain
07:03,12,road
07:03,12,road
07:04,26,mountain
07:04,29,mountain
07:04,30,mountain
07:05,20,mountain
07:05,26,mountain
07:05,24,mountain
07:06,25,mountain
07:06,19,mountain
07:06,25,mountain
07:06,20,mountain
07:06,22,road
07:07,26,mountain
07:07,27,mountain
07:07,25,mountain
07:07,10,road
07:08,26,mountain
07:08,31,mountain
07:09,11,road
07:10,22,mountain
07:10,17,mountain
07:10,14,road
07:10,12,road
07:11,25,mountain
07:11,28,mountain
07:12,19,mountain
07:12,13,road
07:13,26,mountain
07:13,22,mountain
07:13,16,road
07:13,14,road
07:13,16,road
07:14,26,mountain
07:14,21,mountain
07:14,20,mountain
07:15,26,mountain
07:15,25,mountain
07:15,27,mountain
07:15,16,road
07:16,25,mountain
07:16,29,mountain
07:16,15,road
07:17,24,mountain
07:17,20,road
07:17,16,road
07:18,25,mountain
07:18,23,road
07:19,21,mountain
07:19,32,mountain
07:19,16,mountain
07:19,24,mountain
07:19,19,mountain
07:19,13,road
07:20,27,mountain
07:20,19,mountain
07:20,23,mountain
07:20,28,mountain
07:20,18,road
07:20,21,road
07:21,29,mountain
07:21,24,mountain
07:21,24,mountain
07:21,19,road
07:22,21,mountain
07:22,29,mountain
07:22,30,mountain
07:23,26,mountain
07:23,22,mountain
07:23,31,mountain
07:23,29,mountain
07:23,16,road
07:23,14,road
07:23,16,road
07:24,31,mountain
07:24,23,mountain
07:24,30,mountain
07:25,25,mountain
07:25,25,mountain
07:25,24,mountain
07:25,18,road
07:26,26,mountain
07:26,24,mountain
07:26,26,mountain
07:27,26,mountain
07:27,28,mountain
07:27,17,road
